;year;casualties;side_a;side_a_ids;side_b;side_b_ids;conflict;description;url
13;1996;2289;['Government of Sudan'];[112];"[""Sudan People's Liberation Movement-North""]";[466];Second Sudanese Civil War;Rebel group, carrying the ideology of New Sudan;https://en.wikipedia.org/wiki/Second_Sudanese_Civil_War
14;1997;5016;['Alliance of Democratic Forces for the Liberation of Congo-Zaire'];[422];['Civilians'];[1];First Congo War;Foreign invasion of Zaire led by Rwanda that replaced President Mobutu Sésé Seko with the rebel leader Laurent-Désiré Kabila.;https://en.wikipedia.org/wiki/First_Congo_War
15;1997;10033;['Government of Congo'];[88];['Cobras'];[545];Republic of the Congo Civil War;The Second Republic of the Congo Civil War was an ethnopolitical civil conflict in the African state of Republic of the Congo, beginning on 5 June 1997 and continuing until December 1999. The war served as the continuation of the civil war of 1993 and involved militias representing three political candidates. The conflict ended following the intervention of the Angolan army, which reinstated former president Denis Sassou Nguesso to power.;https://en.wikipedia.org/wiki/Republic_of_the_Congo_Civil_War_(1997%E2%80%9399)
16;1998;3287;['Government of Sierra Leone'];[80];['RUF'];[532];Sierra Leone Civil War;The Sierra Leone Civil War (1991–2002) began on 23 March 1991 when the Revolutionary United Front (RUF), with support from the special forces of Charles Taylor’s National Patriotic Front of Liberia (NPFL), intervened in Sierra Leone in an attempt to overthrow the Joseph Momohgovernment. The resulting civil war lasted 11 years, enveloped the country, and left over 50,000 dead.;https://en.wikipedia.org/wiki/Sierra_Leone_Civil_War
17;1998;4891;['Government of Sudan'];[112];"[""Sudan People's Liberation Movement-North""]";[466];Second Sudanese Civil War;Rebel group, carrying the ideology of New Sudan;https://en.wikipedia.org/wiki/Second_Sudanese_Civil_War
18;1999;47192;['Government of Eritrea'];[98];['Government of Ethiopia'];[97];Eritrean–Ethiopian War;The Eritrean–Ethiopian War took place from May 1998 to June 2000 between Ethiopia and Eritrea, forming one of the conflicts in the Horn of Africa. While Eritrea and Ethiopia—two of the world's poorest countries—spent hundreds of millions of dollars on the war and suffered tens of thousands of casualties as a direct consequence of the conflict, only minor border changes resulted;https://en.wikipedia.org/wiki/Eritrean%E2%80%93Ethiopian_War
19;1999;3153;['Government of Sierra Leone'];[80];['AFRC'];[533];Sierra Leone Civil War;The Sierra Leone Civil War (1991–2002) began on 23 March 1991 when the Revolutionary United Front (RUF), with support from the special forces of Charles Taylor’s National Patriotic Front of Liberia (NPFL), intervened in Sierra Leone in an attempt to overthrow the Joseph Momohgovernment. The resulting civil war lasted 11 years, enveloped the country, and left over 50,000 dead.;https://en.wikipedia.org/wiki/Sierra_Leone_Civil_War
20;2000;50000;['Government of Eritrea'];[98];['Government of Ethiopia'];[97];Eritrean–Ethiopian War;The Eritrean–Ethiopian War took place from May 1998 to June 2000 between Ethiopia and Eritrea, forming one of the conflicts in the Horn of Africa. While Eritrea and Ethiopia—two of the world's poorest countries—spent hundreds of millions of dollars on the war and suffered tens of thousands of casualties as a direct consequence of the conflict, only minor border changes resulted;https://en.wikipedia.org/wiki/Eritrean%E2%80%93Ethiopian_War
21;2000;2841;['Government of Sudan'];[112];"[""Sudan People's Liberation Movement-North""]";[466];Second Sudanese Civil War;Rebel group, carrying the ideology of New Sudan;https://en.wikipedia.org/wiki/Second_Sudanese_Civil_War
22;2001;2044;['Government of Rwanda'];[94];['Democratic Forces for the Liberation of Rwanda'];[528];Rwanda, DFLR;The Democratic Forces for the Liberation of Rwanda is the primary remnant Rwandan Hutu rebel group in the east of the Democratic Republic of the Congo.;https://en.wikipedia.org/wiki/Democratic_Forces_for_the_Liberation_of_Rwanda
23;2001;3408;['Government of Sudan'];[112];"[""Sudan People's Liberation Movement-North""]";[466];Second Sudanese Civil War;Rebel group, carrying the ideology of New Sudan;https://en.wikipedia.org/wiki/Second_Sudanese_Civil_War
24;2002;1946;['Hema'];[616];['Lendu'];[638];Ituri conflict;The Ituri conflict (French: Guerre d'Ituri) was a major conflict between the agriculturalist Lendu and pastoralist Hema ethnic groups in the Ituriregion of the north-eastern Democratic Republic of Congo (DRC).;https://en.wikipedia.org/wiki/Ituri_conflict
25;2002;2021;['Government of Sudan'];[112];"[""Sudan People's Liberation Movement-North""]";[466];Sudan, SPLM;Rebel group, carrying the ideology of New Sudan;https://en.wikipedia.org/wiki/Sudan_People%27s_Liberation_Movement
26;2003;1787;['Government of Liberia'];[79];['Liberians United for Reconciliation and Democracy'];[509];Second Liberian Civil War;The Second Liberian Civil War began in 1999 when a rebel group backed by the government of neighbouring Guinea, the Liberians United for Reconciliation and Democracy (LURD), emerged in northern Liberia. In early 2003, a second rebel group, the Movement for Democracy in Liberia, emerged in the south, and by June–July 2003, Charles Taylor's government controlled only a third of the country.;https://en.wikipedia.org/wiki/Second_Liberian_Civil_War
27;2003;1999;['Government of Sudan'];[112];['Justice and Equality Movement'];[468];Second Sudanese Civil War;Rebel group, carrying the ideology of New Sudan;https://en.wikipedia.org/wiki/Second_Sudanese_Civil_War
28;2004;2593;['Government of Sudan'];[112];['Civilians'];[1];Second Sudanese Civil War;Rebel group, carrying the ideology of New Sudan;https://en.wikipedia.org/wiki/Second_Sudanese_Civil_War
29;2004;3278;['Government of Sudan'];[112];['Sudan Liberation Movement/Army'];[469];Second Sudanese Civil War;Rebel group, carrying the ideology of New Sudan;https://en.wikipedia.org/wiki/Second_Sudanese_Civil_War
30;2006;1250;['Government of Chad'];[87];['FUCD'];[453];Chadian Civil War;The most recent Chadian Civil War began in December 2005. Since its independence from France in 1960, Chad has been swamped by the civil war between the Arab-Muslims of the north and the Sub-Saharan-Christians of the south.;https://en.wikipedia.org/wiki/Chadian_Civil_War_(2005%E2%80%932010)
31;2006;1002;['Government of Sudan'];[112];['National Redemption Front'];[470];Second Sudanese Civil War;Rebel group, carrying the ideology of New Sudan;https://en.wikipedia.org/wiki/Second_Sudanese_Civil_War
32;2007;1550;['Government of Somalia'];[95];['Supreme Islamic Council of Somalia'];[505];Somali Civil War (2006-2009);The Somali Civil War was an armed conflict involving largely Ethiopian and Somali Transitional Federal Government (TFG) forces and Somali troops from Puntland versus the Somali Islamist umbrella group, the Islamic Court Union (ICU), and other affiliated militias for control of the country.;https://en.wikipedia.org/wiki/Somali_Civil_War_(2006%E2%80%932009)
33;2008;1499;['Government of Somalia'];[95];['Al-Shabaab'];[717];Somali Civil War (2006-2009);The Somali Civil War was an armed conflict involving largely Ethiopian and Somali Transitional Federal Government (TFG) forces and Somali troops from Puntland versus the Somali Islamist umbrella group, the Islamic Court Union (ICU), and other affiliated militias for control of the country.;https://en.wikipedia.org/wiki/Somali_Civil_War_(2006%E2%80%932009)
34;2009;1824;['Government of Rwanda'];[94];['Democratic Forces for the Liberation of Rwanda'];[528];Terrorist attacks by the DFLR;Democratic Forces for the Liberation of Rwanda;https://en.wikipedia.org/wiki/Democratic_Forces_for_the_Liberation_of_Rwanda
35;2009;1484;['Government of Somalia'];[95];['Al-Shabaab'];[717];Somali Civil War (2009–present);The 2009–present phase of the Somali Civil War is concentrated in southern Somalia. It began in early February 2009 with the conflict between the forces of the Federal Government of Somalia, assisted by African Union peacekeeping troops, and various militant Islamist groups and factions.;https://en.wikipedia.org/wiki/Somali_Civil_War_(2009%E2%80%93present)
36;2010;2151;['Government of Somalia'];[95];['Al-Shabaab'];[717];Somali Civil War (2009–present);The 2009–present phase of the Somali Civil War is concentrated in southern Somalia. It began in early February 2009 with the conflict between the forces of the Federal Government of Somalia, assisted by African Union peacekeeping troops, and various militant Islamist groups and factions.;https://en.wikipedia.org/wiki/Somali_Civil_War_(2009%E2%80%93present)
37;2010;1012;['Government of Sudan'];[112];['Sudan Liberation Movement/Army'];[469];Second Sudanese Civil War;Rebel group, carrying the ideology of New Sudan;https://en.wikipedia.org/wiki/Second_Sudanese_Civil_War
38;2011;1930;['Government of Libya'];[111];['NTC'];[1126];Libyan Civil war (2011);The first Libyan Civil War, also referred to as the Libyan Revolution or 17 February Revolution, was an armed conflict in 2011, in the North African country of Libya, fought between forces loyal to Colonel Muammar Gaddafi and those seeking to oust his government.;https://en.wikipedia.org/wiki/Libyan_Civil_War_(2011)
39;2011;1938;['Government of Somalia'];[95];['Al-Shabaab'];[717];Somali Civil War (2009–present);The 2009–present phase of the Somali Civil War is concentrated in southern Somalia. It began in early February 2009 with the conflict between the forces of the Federal Government of Somalia, assisted by African Union peacekeeping troops, and various militant Islamist groups and factions.;https://en.wikipedia.org/wiki/Somali_Civil_War_(2009%E2%80%93present)
40;2012;2622;['Government of Somalia'];[95];['Al-Shabaab'];[717];Somali Civil War (2009–present);The 2009–present phase of the Somali Civil War is concentrated in southern Somalia. It began in early February 2009 with the conflict between the forces of the Federal Government of Somalia, assisted by African Union peacekeeping troops, and various militant Islamist groups and factions.;https://en.wikipedia.org/wiki/Somali_Civil_War_(2009%E2%80%93present)
41;2012;1173;['Government of Sudan'];[112];['Sudan Revolutionary Front'];[1162];Second Sudanese Civil War;Rebel group, carrying the ideology of New Sudan;https://en.wikipedia.org/wiki/Second_Sudanese_Civil_War
42;2013;1390;['Government of Democratic Republic of the Congo (Zaire)'];[89];['APCLS'];[1200];Kivu conflict;The Kivu conflict began in 2004 in the eastern Congo as an armed conflict between the military of the Democratic Republic of the Congo (FARDC) and the Hutu Power group Democratic Forces for the Liberation of Rwanda (FDLR) in the Democratic Republic of the Congo.;https://en.wikipedia.org/wiki/Kivu_conflict
43;2013;1629;['Government of Nigeria'];[84];"[""People Committed to Propagating the Prophet's Teachings and Jihad""]";[1051];Nigeria, Islamic State;Conflict opposing the Government of Nigeria to the Islamic State in West Africa formerly known as Boko Haram;https://en.wikipedia.org/wiki/Boko_Haram
44;2014;5124;"[""People Committed to Propagating the Prophet's Teachings and Jihad""]";[1051];['Civilians'];[1];Islamic State in West Africa;"The Islamic State in West Africa formerly known as Jam_'at Ahl as-Sunnah lid-Da'wah wa'l-Jih_d (""Group of the People of Sunnah for Preaching and Jihad""), commonly known as Boko Haram, until March 2015, is a Jihadist militant organization based in northeastern Nigeria, also active in Chad, Niger and northern Cameroon.";https://en.wikipedia.org/wiki/Boko_Haram
45;2014;4780;['Government of Nigeria'];[84];"[""People Committed to Propagating the Prophet's Teachings and Jihad""]";[1051];Nigeria, Islamic State;Conflict opposing the Government of Nigeria to the Islamic State in West Africa formerly known as Boko Haram;https://en.wikipedia.org/wiki/Boko_Haram
46;2015;3296;['The Monotheism and Jihad Group'];[234];['Civilians'];[1];Islamic State in West Africa;"The Islamic State in West Africa formerly known as Jam_'at Ahl as-Sunnah lid-Da'wah wa'l-Jih_d (""Group of the People of Sunnah for Preaching and Jihad""), commonly known as Boko Haram, until March 2015, is a Jihadist militant organization based in northeastern Nigeria, also active in Chad, Niger and northern Cameroon.";https://en.wikipedia.org/wiki/Boko_Haram
47;2015;1919;['Government of Nigeria'];[84];['The Monotheism and Jihad Group'];[234];Nigeria, Islamic State;Conflict opposing the Government of Nigeria to the Islamic State in West Africa formerly known as Boko Haram;https://en.wikipedia.org/wiki/Boko_Haram
48;2015;2667;['Government of Nigeria'];[84];"[""People Committed to Propagating the Prophet's Teachings and Jihad""]";[1051];Nigeria, Islamic State;Conflict opposing the Government of Nigeria to the Islamic State in West Africa formerly known as Boko Haram;https://en.wikipedia.org/wiki/Boko_Haram
49;2016;1678;['Government of Libya'];[111];['The Monotheism and Jihad Group'];[234];Second Libyan Civil War;"The second Libyan Civil War[85] is an ongoing conflict among rival groups seeking control of the territory of Libya. The conflict has been mostly between the government of the House of Representatives (HoR) that was elected democratically in 2014, also known as the ""Tobruk government"" and internationally recognized as the ""Libyan government""; and the rival General National Congress (GNC) endorsed government, also called the ""National Salvation Government"", based in the capital Tripoli established after Operation Libya Dawn.";https://en.wikipedia.org/wiki/Libyan_Civil_War_(2014%E2%80%93present)
50;2016;2213;['Government of Nigeria'];[84];['The Monotheism and Jihad Group'];[234];Nigeria, Islamic State;Conflict opposing the Government of Nigeria to the Islamic State in West Africa formerly known as Boko Haram;https://en.wikipedia.org/wiki/Boko_Haram
51;2016;1925;['Government of Somalia'];[95];['Al-Shabaab'];[717];Somali Civil War (2009–present);The 2009–present phase of the Somali Civil War is concentrated in southern Somalia. It began in early February 2009 with the conflict between the forces of the Federal Government of Somalia, assisted by African Union peacekeeping troops, and various militant Islamist groups and factions.;https://en.wikipedia.org/wiki/Somali_Civil_War_(2009%E2%80%93present)
